,Company,open_max,open_min,high_max,high_min,low_max,low_min,close_max,close_min,volume_max,volume_min
0,Sony Interactive Entertainment,16.856000213623048,1.0886400032043457,17.626000213623048,1.2655999946594239,14.000000000000002,1.0718400192260744,17.556000213623047,1.0908799743652344,835493500,24017500
1,Tencent Interactive Entertainment,7000.79921875,7.371896591186524,7778.108281250001,7.973679885864258,6644.7415234375,6.7701126480102545,6835.307539062501,7.371896591186524,1277783837,233420548
2,Microsoft Gaming,37938.68990966797,1349.5776032257081,39603.67651611328,1596.492729034424,34856.476877441404,1257.407190322876,37794.09303222657,1365.64396774292,3044579400,342370400
3,Nintendo,1349.5776032257081,152.207995967865,1396.0856193542481,176.730392742157,1229.6715045166015,113.31040282249451,1361.7542477416991,155.59040282249453,489399500,1597000
4,NetEase Games,10044.036696777344,2.7059201285243,11358.944954833985,2.7059201285243,9010.713393554688,2.1562799596786464,9972.160825805664,2.7059201285243,2848722000,0
5,Electronic Arts,12827.751741943359,972.44,12980.805135498047,1065.4560322570803,12189.32348388672,910.7112387084961,12837.899819335938,931.8512387084961,326665200,31702900
6,Take-Two Interactive,17645.135045166015,399.68695537567146,18172.78990966797,658.8633602142335,16219.453393554686,363.04424301147463,17570.72183227539,398.55944946289065,151280400,8119500
7,Embracer Group,1012.68,39.05866271972656,1045.2719763183593,43.32666419982911,926.1559881591796,35.04932765960693,1011.1280236816406,38.92932765960693,340488254,1801158
8,Roblox Corporation,10835.518348388672,2420.1072709655764,11973.696516113281,2500.86206451416,7886.9109161376955,1830.7239677429202,10663.01587097168,2392.202477416992,875548700,107105000
9,Playtika,2551.175206451416,596.993595161438,2967.210412902832,619.824793548584,2410.8056193542484,528.5,2515.66,596.14801612854,77570500,11134800
